state,district,migration_pressure_score,migration_pressure_category,score_climate,score_agriculture,score_poverty,score_demographics,rainfall_cv,drought_freq,flood_freq,yield_cv,production_std,mpi,headcount_ratio,marginal_worker_rate,worker_ratio,rainfall_cv_imp,drought_freq_imp,flood_freq_imp,yield_cv_imp,production_std_imp,mpi_imp,headcount_ratio_imp,marginal_worker_rate_imp,worker_ratio_imp
MAHARASHTRA,Solapur,0.210501,Low,0.342803357,0.005411975,0.172711006,0.306590576,,,,1.778259358,5043497.01,0.06077533,15.016584,0.031317193,0.439671672,0.20375287,0.166666667,0.166666667,1.778259358,5043497.01,0.06077533,15.016584,0.031317193,0.439671672
ANDHRA PRADESH,Visakhapatnam,0.200262,Low,0.185410332,0.087947763,0.210640816,0.404809248,,,,,,0.07777677,17.579393,0.09526431,0.440470761,0.26165514,0.083333333,0.083333333,145.3701609,792641.6577,0.07777677,17.579393,0.09526431,0.440470761
BIHAR,Samastipur,0.37813,High,0.338352959,0.000628485,0.697269593,0.568213156,0.327027528,0.083333333,0.166666667,0.814996132,241188.9541,0.26916566,55.535625,0.102302065,0.31523623,0.327027528,0.083333333,0.166666667,0.814996132,241188.9541,0.26916566,55.535625,0.102302065,0.31523623
MAHARASHTRA,Jalgaon,0.158492,Low,0.133937529,0.012142404,0.231837944,0.337455373,0.311445326,0,0.083333333,19.32942357,688919.5964,0.08380309,19.67141,0.051919695,0.440569165,0.311445326,0,0.083333333,19.32942357,688919.5964,0.08380309,19.67141,0.051919695,0.440569165
ANDHRA PRADESH,Chittoor,0.170053,Low,0.185410332,0.078549518,0.145702411,0.327307534,,,,109.1781719,14889247.7,0.05012701,12.914888,0.063129123,0.463183363,0.26165514,0.083333333,0.083333333,109.1781719,14889247.7,0.05012701,12.914888,0.063129123,0.463183363
GUJARAT,Vadodara,0.280143,Medium,0.420988307,0.000856421,0.276956415,0.422289819,0.325936747,0.166666667,0.166666667,1.002541543,372842.9151,0.10138744,23.221057,0.079895075,0.406535056,0.325936747,0.166666667,0.166666667,1.002541543,372842.9151,0.10138744,23.221057,0.079895075,0.406535056
UTTAR PRADESH,Muzaffarnagar,0.323907,High,0.452220008,0.002081204,0.365854325,0.490974976,0.374744227,0.166666667,0.166666667,1.63594464,1337095.776,0.13573687,30.271471,0.049753205,0.311726864,0.374744227,0.166666667,0.166666667,1.63594464,1337095.776,0.13573687,30.271471,0.049753205,0.311726864
KERALA,Malappuram,0.228295,Low,0.236789198,0.23061397,0.016155863,0.558178526,0.168308308,0.083333333,0.166666667,174.5293318,143724996.8,0.00565493,1.580503,0.051150278,0.258313801,0.168308308,0.083333333,0.166666667,174.5293318,143724996.8,0.00565493,1.580503,0.051150278,0.258313801
UTTAR PRADESH,Hardoi,0.337218,High,0.269336939,0.001328003,0.650506148,0.533275443,0.219172436,0.083333333,0.166666667,1.123023384,828772.5325,0.24310214,53.344768,0.085289084,0.322256523,0.219172436,0.083333333,0.166666667,1.123023384,828772.5325,0.24310214,53.344768,0.085289084,0.322256523
ANDHRA PRADESH,Anantapur,0.176249,Low,0.185410332,0.065344513,0.187253801,0.321373103,,,,104.7686892,2833163.023,0.06451616,16.526608,0.087355568,0.498919912,0.26165514,0.083333333,0.083333333,104.7686892,2833163.023,0.06451616,16.526608,0.087355568,0.498919912
CHHATTISGARH,Raipur,0.256038,Medium,0.314204898,0.000320987,0.309733523,0.457017266,0.1590605,0.166666667,0.166666667,0.31703985,231631.6953,0.10875387,26.826579,0.122672663,0.432509685,0.1590605,0.166666667,0.166666667,0.31703985,231631.6953,0.10875387,26.826579,0.122672663,0.432509685
ANDHRA PRADESH,Kurnool,0.194652,Low,0.185967811,0.063262649,0.282309869,0.287797906,0.262526343,0.083333333,0.083333333,104.500896,639213.4783,0.10198907,23.924154,0.06707968,0.500664494,0.262526343,0.083333333,0.083333333,104.500896,639213.4783,0.10198907,23.924154,0.06707968,0.500664494
ANDHRA PRADESH,Mahbubnagar,0.16823,Low,0.185410332,0.087629159,0.163795056,0.269866954,,,,145.3701609,428767.212,,,0.065841637,0.513813623,0.26165514,0.083333333,0.083333333,145.3701609,428767.212,0.05886256,14.018535,0.065841637,0.513813623
UTTAR PRADESH,Kheri,0.408733,High,0.387587359,0.003943132,0.771187214,0.528629518,0.273739268,0.166666667,0.166666667,1.323926489,3677650.473,0.30128713,60.721974,0.076212504,0.31450922,0.273739268,0.166666667,0.166666667,1.323926489,3677650.473,0.30128713,60.721974,0.076212504,0.31450922
TAMIL NADU,Kancheepuram,0.184928,Low,0.199520143,0.16984478,0.049034508,0.402509756,0.28370531,0.083333333,0.083333333,,,0.01674703,4.494137,0.076642493,0.418636444,0.28370531,0.083333333,0.083333333,209.7255024,50174092.77,0.01674703,4.494137,0.076642493,0.418636444
WEST BENGAL,Maldah,0.345026,High,0.367542582,0.098546707,0.459046559,0.513251348,,,,159.4774423,3219000.182,0.16516493,38.911929,0.122053376,0.385536916,0.177299435,0.208333333,0.166666667,159.4774423,3219000.182,0.16516493,38.911929,0.122053376,0.385536916
BIHAR,Saran,0.358185,High,0.372546758,0.000691473,0.510261217,0.667035869,0.38046404,0.083333333,0.166666667,1.160822259,75865.56082,0.18678654,42.625748,0.12518428,0.263225538,0.38046404,0.083333333,0.166666667,1.160822259,75865.56082,0.18678654,42.625748,0.12518428,0.263225538
ANDHRA PRADESH,Hyderabad,0.178207,Low,0.185410332,0.000408465,0.163795056,0.481747826,,,,0.797812403,1695.408579,,,0.080443829,0.358402545,0.26165514,0.083333333,0.083333333,0.797812403,1695.408579,0.05886256,14.018535,0.080443829,0.358402545
BIHAR,Darbhanga,0.377919,High,0.316828581,0.000659243,0.702114689,0.608900624,0.29339021,0.083333333,0.166666667,1.069101247,101982.8346,0.26721257,56.646172,0.125030445,0.310774791,0.29339021,0.083333333,0.166666667,1.069101247,101982.8346,0.26721257,56.646172,0.125030445,0.310774791
ANDHRA PRADESH,West Godavari,0.220752,Low,0.185410332,0.28764318,0.132316259,0.339123978,,,,243.7004798,161401203.3,0.04535248,11.77772,0.06069293,0.450375238,0.26165514,0.083333333,0.083333333,243.7004798,161401203.3,0.04535248,11.77772,0.06069293,0.450375238
TAMIL NADU,Vellore,0.225224,Low,0.293835652,0.186000146,0.06322039,0.400510577,0.257457909,0.083333333,0.166666667,144.7592898,113196350.2,0.02122145,5.810384,0.083617206,0.429163604,0.257457909,0.083333333,0.166666667,144.7592898,113196350.2,0.02122145,5.810384,0.083617206,0.429163604
BIHAR,Pashchim Champaran,0.409043,High,0.400161914,0.003853324,0.7094899,0.604336687,,,,0.932568182,3843581.049,0.27288272,56.695581,0.173162828,0.375840207,0.29339021,0.166666667,0.166666667,0.932568182,3843581.049,0.27288272,56.695581,0.173162828,0.375840207
MAHARASHTRA,Kolhapur,0.200506,Low,0.335711518,0.005198157,0.125060383,0.336282905,0.192670067,0.166666667,0.166666667,3.610424702,3542303.444,0.04247074,11.217097,0.050436261,0.439642301,0.192670067,0.166666667,0.166666667,3.610424702,3542303.444,0.04247074,11.217097,0.050436261,0.439642301
WEST BENGAL,Jalpaiguri,0.308311,Medium,0.449575677,0.021570659,0.305334837,0.461552433,0.24038225,0.25,0.166666667,31.49551836,3110037.258,0.11029261,25.862859,0.092734129,0.390645536,0.24038225,0.25,0.166666667,31.49551836,3110037.258,0.11029261,25.862859,0.092734129,0.390645536
GUJARAT,Rajkot,0.228698,Low,0.403391247,0.001634209,0.118667157,0.382902807,0.298436864,0.166666667,0.166666667,1.214759157,1115550.645,0.04205025,10.320862,0.040547943,0.38875738,0.298436864,0.166666667,0.166666667,1.214759157,1115550.645,0.04205025,10.320862,0.040547943,0.38875738
UTTAR PRADESH,Sultanpur,0.292604,Medium,0.17098524,0.000779437,0.558106926,0.620250247,0.195702417,0,0.166666667,1.224127421,132896.3357,0.20109774,47.213241,0.145285226,0.327256706,0.195702417,0,0.166666667,1.224127421,132896.3357,0.20109774,47.213241,0.145285226,0.327256706
ANDHRA PRADESH,Karimnagar,0.15206,Low,0.185410332,0.001338242,0.163795056,0.305890055,,,,1.538002286,555762.43,,,0.075859003,0.496990018,0.26165514,0.083333333,0.083333333,1.538002286,555762.43,0.05886256,14.018535,0.075859003,0.496990018
TAMIL NADU,Thiruvallur,0.213643,Low,0.319664138,0.116179446,0.043814477,0.411745339,,,,187.4090263,4194141.169,0.01503096,4.023008,0.077824009,0.412556624,0.29782149,0.083333333,0.166666667,187.4090263,4194141.169,0.01503096,4.023008,0.077824009,0.412556624
MAHARASHTRA,Aurangabad,0.21685,Low,0.342803357,0.001355546,0.18869775,0.329036643,,,,0.93858077,986770.402,0.0662787,16.412408,0.0347023,0.42554958,0.20375287,0.166666667,0.166666667,0.93858077,986770.402,0.0662787,16.412408,0.0347023,0.42554958
RAJASTHAN,Jodhpur,0.374196,High,0.595086449,0.001373389,0.372085331,0.483674207,0.424370011,0.166666667,0.25,1.444483529,660063.0093,0.14000863,30.411702,0.117505455,0.404034265,0.424370011,0.166666667,0.25,1.444483529,660063.0093,0.14000863,30.411702,0.117505455,0.404034265
UTTAR PRADESH,Bijnor,0.266545,Medium,0.269560412,0.002198249,0.363681684,0.538192058,0.262931514,0.166666667,0.083333333,1.056145474,1868554.22,0.13097759,30.843408,0.067411715,0.295444147,0.262931514,0.166666667,0.083333333,1.056145474,1868554.22,0.13097759,30.843408,0.067411715,0.295444147
UTTAR PRADESH,Budaun,0.405686,High,0.387458851,0.000853689,0.764611418,0.524724256,,,,1.062720763,328436.0777,0.29738533,60.458859,0.062896942,0.30075347,0.273538441,0.166666667,0.166666667,1.062720763,328436.0777,0.29738533,60.458859,0.062896942,0.30075347
UTTAR PRADESH,Varanasi,0.289235,Medium,0.384711138,0.000569394,0.308383543,0.515655278,0.269244441,0.166666667,0.166666667,0.922877807,99686.84395,0.11010978,26.363028,0.081577365,0.331999126,0.269244441,0.166666667,0.166666667,0.922877807,99686.84395,0.11010978,26.363028,0.081577365,0.331999126
RAJASTHAN,Alwar,0.267233,Medium,0.314762443,0.000710985,0.357241229,0.450522051,0.290161344,0.083333333,0.166666667,0.770681369,365814.7015,0.12811807,30.403059,0.143999789,0.465013272,0.290161344,0.083333333,0.166666667,0.770681369,365814.7015,0.12811807,30.403059,0.143999789,0.465013272
UTTAR PRADESH,Aligarh,0.380289,High,0.52276957,0.000949774,0.467672377,0.534429966,0.311356486,0.166666667,0.25,1.098707594,413484.1129,0.17127187,39.069339,0.08398784,0.319650648,0.311356486,0.166666667,0.25,1.098707594,413484.1129,0.17127187,39.069339,0.08398784,0.319650648
NCT OF DELHI,North West,0.275593,Medium,0.379693734,0.000981564,0.317672751,0.420243156,,,,,,,,0.01460917,0.325046444,0.26140347,0.166666667,0.166666667,1.408736477,237089.6268,0.11379286,27.081936,0.01460917,0.325046444
UTTAR PRADESH,Ghazipur,0.321274,High,0.290055827,0.000692585,0.532867577,0.575763657,0.25155097,0.083333333,0.166666667,0.974745919,204797.0519,0.19034961,45.400612,0.120908452,0.33273835,0.25155097,0.083333333,0.166666667,0.974745919,204797.0519,0.19034961,45.400612,0.120908452,0.33273835
WEST BENGAL,Bankura,0.298077,Medium,0.289976065,0.045116439,0.420756267,0.534116751,0.16460663,0.25,0.083333333,73.96582508,863816.7653,0.15132759,35.693319,0.152870958,0.407659966,0.16460663,0.25,0.083333333,73.96582508,863816.7653,0.15132759,35.693319,0.152870958,0.407659966
UTTAR PRADESH,Kushinagar,0.364301,High,0.387458851,0.000897432,0.511756464,0.670177714,,,,,,0.18851928,42.525038,0.166561277,0.313356491,0.273538441,0.166666667,0.166666667,1.168299435,305959.9155,0.18851928,42.525038,0.166561277,0.313356491
ODISHA,Ganjam,0.290981,Medium,0.398514435,0.000579073,0.281791226,0.539386098,0.160586067,0.25,0.166666667,0.791413431,200935.5393,0.10308462,23.63696,0.17030964,0.425547976,0.160586067,0.25,0.166666667,0.791413431,200935.5393,0.10308462,23.63696,0.17030964,0.425547976
ANDHRA PRADESH,Warangal,0.15382,Low,0.185410332,0.000841743,0.163795056,0.318450784,,,,0.973669374,375887.1042,,,0.075004213,0.485585223,0.26165514,0.083333333,0.083333333,0.973669374,375887.1042,0.05886256,14.018535,0.075004213,0.485585223
WEST BENGAL,Birbhum,0.413111,High,0.530353207,0.132704387,0.467712075,0.515890998,0.192978312,0.25,0.25,215.9483077,3487155.103,0.16636083,40.007855,0.119563306,0.380196859,0.192978312,0.25,0.25,215.9483077,3487155.103,0.16636083,40.007855,0.119563306,0.380196859
UTTAR PRADESH,Bulandshahr,0.315308,High,0.387458851,0.001140748,0.409973659,0.512788778,,,,0.964552431,723633.105,0.14993829,34.310891,0.082317783,0.33529656,0.273538441,0.166666667,0.166666667,0.964552431,723633.105,0.14993829,34.310891,0.082317783,0.33529656
PUNJAB,Ludhiana,0.169162,Low,0.275249668,0.001970253,0.042709503,0.411028751,0.271822425,0.166666667,0.083333333,3.150265444,171449.5882,0.01592702,3.684174,0.041777337,0.367224306,0.271822425,0.166666667,0.083333333,3.150265444,171449.5882,0.01592702,3.684174,0.041777337,0.367224306
BIHAR,Vaishali,0.414578,High,0.528275102,0.000523181,0.572138119,0.576778151,0.363370127,0.25,0.166666667,0.889487207,69816.38292,0.21446225,46.817917,0.098522441,0.303387018,0.363370127,0.25,0.166666667,0.889487207,69816.38292,0.21446225,46.817917,0.098522441,0.303387018
ANDHRA PRADESH,Nalgonda,0.179482,Low,0.185410332,0.117027009,0.163795056,0.295887127,,,,194.4557606,327579.3586,,,0.071162967,0.499222801,0.26165514,0.083333333,0.083333333,194.4557606,327579.3586,0.05886256,14.018535,0.071162967,0.499222801
UTTAR PRADESH,Bahraich,0.40757,High,0.259878112,0.001349542,0.92136325,0.572899493,0.247800457,0.166666667,0.083333333,1.343336013,702222.3495,0.36557113,71.444252,0.117184496,0.330346578,0.247800457,0.166666667,0.083333333,1.343336013,702222.3495,0.36557113,71.444252,0.117184496,0.330346578
TAMIL NADU,Salem,0.21106,Low,0.306176541,0.166415395,0.09302509,0.260250599,0.276743688,0.083333333,0.166666667,164.0512037,77593202.02,0.033506,8.0283,0.038233159,0.486540136,0.276743688,0.083333333,0.166666667,164.0512037,77593202.02,0.033506,8.0283,0.038233159,0.486540136
UTTAR PRADESH,Saharanpur,0.292612,Medium,0.335830016,0.001320483,0.400054491,0.498182281,0.323084787,0.083333333,0.166666667,0.687595836,1118917.735,0.14880031,33.012569,0.044612221,0.29925842,0.323084787,0.083333333,0.166666667,0.687595836,1118917.735,0.14880031,33.012569,0.044612221,0.29925842
TAMIL NADU,Viluppuram,0.245868,Low,0.319664138,0.16984478,0.130780725,0.392192833,,,,,,0.04475457,11.65681,0.127916521,0.492428892,0.29782149,0.083333333,0.166666667,209.7255024,50174092.77,0.04475457,11.65681,0.127916521,0.492428892
TAMIL NADU,Coimbatore,0.371122,High,0.474123242,0.608514069,0.033877557,0.297206496,0.495793296,0,0.25,180.7617483,571044899.4,0.01152607,3.171379,0.036060259,0.453420936,0.495793296,0,0.25,180.7617483,571044899.4,0.01152607,3.171379,0.036060259,0.453420936
